"State","MSN","2022"
"NE","EVPVP",2.00
"NH","EV0CN",0.00
"NH","EV1CN",6.00
"NH","EV2CN",363.00
"NH","EV2CR",2.04
"NH","EVCHN",508.00
"NH","EVCHP",203.00
"NH","EVDCN",139.00
"NH","EVDCR",4.48
"NH","EVNNP",3.00
"NH","EVNOP",79.00
"NH","EVNTP",121.00
"NH","EVPPP",8.00
"NH","EVPUP",173.00
"NH","EVPVP",22.00
"NJ","EV0CN",0.00
"NJ","EV1CN",16.00
"NJ","EV2CN",2330.00
"NJ","EV2CR",2.69
"NJ","EVCHN",3139.00
"NJ","EVCHP",1001.00
"NJ","EVDCN",793.00
"NJ","EVDCR",4.87
"NJ","EVNNP",3.00
"NJ","EVNOP",140.00
"NJ","EVNTP",858.00
"NJ","EVPPP",28.00
"NJ","EVPUP",907.00
"NJ","EVPVP",66.00
"NM","EV0CN",0.00
"NM","EV1CN",10.00
"NM","EV2CN",383.00
"NM","EV2CR",2.28
"NM","EVCHN",554.00
"NM","EVCHP",211.00
"NM","EVDCN",161.00
"NM","EVDCR",3.83
"NM","EVNNP",0.00
"NM","EVNOP",24.00
"NM","EVNTP",187.00
"NM","EVPPP",3.00
"NM","EVPUP",197.00
"NM","EVPVP",11.00
"NV","EV0CN",0.00
"NV","EV1CN",15.00
"NV","EV2CN",1335.00
"NV","EV2CR",3.19
"NV","EVCHN",1785.00
"NV","EVCHP",496.00
"NV","EVDCN",435.00
"NV","EVDCR",4.83
"NV","EVNNP",0.00
"NV","EVNOP",59.00
"NV","EVNTP",437.00
"NV","EVPPP",4.00
"NV","EVPUP",476.00
"NV","EVPVP",16.00
"NY","EV0CN",0.00
"NY","EV1CN",49.00
"NY","EV2CN",9025.00
"NY","EV2CR",2.80
"NY","EVCHN",10253.00
"NY","EVCHP",3475.00
"NY","EVDCN",1179.00
"NY","EVDCR",4.37
"NY","EVNNP",3.00
"NY","EVNOP",357.00
"NY","EVNTP",3115.00
"NY","EVPPP",59.00
"NY","EVPUP",3263.00
"NY","EVPVP",153.00
"OH","EV0CN",0.00
"OH","EV1CN",40.00
"OH","EV2CN",2562.00
"OH","EV2CR",2.30
"OH","EVCHN",3054.00
"OH","EVCHP",1263.00
"OH","EVDCN",452.00
"OH","EVDCR",2.63
"OH","EVNNP",5.00
"OH","EVNOP",309.00
"OH","EVNTP",949.00
"OH","EVPPP",36.00
"OH","EVPUP",1193.00
"OH","EVPVP",34.00
"OK","EV0CN",0.00
"OK","EV1CN",8.00
"OK","EV2CN",487.00
"OK","EV2CR",2.45
"OK","EVCHN",1133.00
"OK","EVCHP",334.00
"OK","EVDCN",638.00
"OK","EVDCR",3.80
"OK","EVNNP",4.00
"OK","EVNOP",80.00
"OK","EVNTP",250.00
"OK","EVPPP",13.00
"OK","EVPUP",302.00
"OK","EVPVP",19.00
"OR","EV0CN",0.00
"OR","EV1CN",75.00
"OR","EV2CN",2395.00
"OR","EV2CR",2.59
"OR","EVCHN",3001.00
"OR","EVCHP",1048.00
"OR","EVDCN",531.00
"OR","EVDCR",2.92
"OR","EVNNP",4.00
"OR","EVNOP",184.00
"OR","EVNTP",860.00
"OR","EVPPP",22.00
"OR","EVPUP",965.00
"OR","EVPVP",61.00
"PA","EV0CN",0.00
"PA","EV1CN",51.00
"PA","EV2CN",2845.00
"PA","EV2CR",2.32
"PA","EVCHN",3614.00
"PA","EVCHP",1369.00
"PA","EVDCN",718.00
"PA","EVDCR",4.49
"PA","EVNNP",0.00
"PA","EVNOP",221.00
"PA","EVNTP",1148.00
"PA","EVPPP",47.00
"PA","EVPUP",1284.00
"PA","EVPVP",38.00
"RI","EV0CN",0.00
"RI","EV1CN",82.00
"RI","EV2CN",664.00
"RI","EV2CR",2.49
"RI","EVCHN",825.00
"RI","EVCHP",300.00
"RI","EVDCN",79.00
"RI","EVDCR",2.14
"RI","EVNNP",0.00
"RI","EVNOP",33.00
"RI","EVNTP",267.00
"RI","EVPPP",4.00
"RI","EVPUP",279.00
"RI","EVPVP",17.00
"SC","EV0CN",0.00
"SC","EV1CN",18.00
"SC","EV2CN",830.00
"SC","EV2CR",2.28
"SC","EVCHN",1120.00
"SC","EVCHP",416.00
"SC","EVDCN",272.00
"SC","EVDCR",4.86
"SC","EVNNP",2.00
"SC","EVNOP",178.00
"SC","EVNTP",236.00
"SC","EVPPP",21.00
"SC","EVPUP",361.00
"SC","EVPVP",34.00
"SD","EV0CN",0.00
"SD","EV1CN",2.00
"SD","EV2CN",113.00
"SD","EV2CR",2.35
"SD","EVCHN",193.00
"SD","EVCHP",70.00
"SD","EVDCN",78.00
"SD","EVDCR",3.90
"SD","EVNNP",0.00
"SD","EVNOP",10.00
"SD","EVNTP",60.00
"SD","EVPPP",4.00
"SD","EVPUP",64.00
"SD","EVPVP",2.00
"TN","EV0CN",0.00
"TN","EV1CN",34.00
"TN","EV2CN",1540.00
"TN","EV2CR",2.44
"TN","EVCHN",1843.00
"TN","EVCHP",695.00
"TN","EVDCN",269.00
"TN","EVDCR",3.41
"TN","EVNNP",1.00
"TN","EVNOP",140.00
"TN","EVNTP",554.00
"TN","EVPPP",30.00
"TN","EVPUP",618.00
"TN","EVPVP",47.00
"TX","EV0CN",0.00
"TX","EV1CN",96.00
"TX","EV2CN",6070.00
"TX","EV2CR",2.50
"TX","EVCHN",7668.00
"TX","EVCHP",2672.00
"TX","EVDCN",1502.00
"TX","EVDCR",4.83
"TX","EVNNP",15.00
"TX","EVNOP",238.00
"TX","EVNTP",2419.00
"TX","EVPPP",69.00
"TX","EVPUP",2531.00
"TX","EVPVP",72.00
"US","EV0CN",45.00
"US","EV1CN",3135.00
"US","EV2CN",131850.00
"US","EV2CR",2.69
"US","EVCHN",164053.00
"US","EVCHP",55015.00
"US","EVDCN",29023.00
"US","EVDCR",4.09
"US","EVNNP",212.00
"US","EVNOP",7980.00
"US","EVNTP",46823.00
"US","EVPPP",1176.00
"US","EVPUP",51306.00
"US","EVPVP",2533.00
"UT","EV0CN",0.00
"UT","EV1CN",17.00
"UT","EV2CN",1863.00
"UT","EV2CR",2.59
"UT","EVCHN",2147.00
"UT","EVCHP",798.00
"UT","EVDCN",267.00
"UT","EVDCR",2.75
"UT","EVNNP",2.00
"UT","EVNOP",72.00
"UT","EVNTP",724.00
"UT","EVPPP",10.00
"UT","EVPUP",773.00
"UT","EVPVP",15.00
"VA","EV0CN",0.00
"VA","EV1CN",237.00
"VA","EV2CN",3185.00
"VA","EV2CR",2.88
"VA","EVCHN",4320.00
"VA","EVCHP",1305.00
"VA","EVDCN",898.00
"VA","EVDCR",4.16
"VA","EVNNP",8.00
"VA","EVNOP",307.00
"VA","EVNTP",990.00
"VA","EVPPP",42.00
"VA","EVPUP",1165.00
"VA","EVPVP",98.00
"VT","EV0CN",0.00
"VT","EV1CN",37.00
"VT","EV2CN",921.00
"VT","EV2CR",2.91
"VT","EVCHN",1068.00
"VT","EVCHP",360.00
"VT","EVDCN",110.00
"VT","EVDCR",2.44
"VT","EVNNP",7.00
"VT","EVNOP",78.00
"VT","EVNTP",275.00
"VT","EVPPP",6.00
"VT","EVPUP",342.00
"VT","EVPVP",12.00
"WA","EV0CN",0.00
"WA","EV1CN",211.00
"WA","EV2CN",4521.00
"WA","EV2CR",2.78
"WA","EVCHN",5583.00
"WA","EVCHP",1818.00
"WA","EVDCN",851.00
"WA","EVDCR",3.49
"WA","EVNNP",7.00
"WA","EVNOP",245.00
"WA","EVNTP",1566.00
"WA","EVPPP",29.00
"WA","EVPUP",1698.00
"WA","EVPVP",91.00
"WI","EV0CN",0.00
"WI","EV1CN",7.00
"WI","EV2CN",947.00
"WI","EV2CR",2.22
"WI","EVCHN",1227.00
"WI","EVCHP",489.00
"WI","EVDCN",273.00
"WI","EVDCR",4.07
"WI","EVNNP",5.00
"WI","EVNOP",62.00
"WI","EVNTP",422.00
"WI","EVPPP",12.00
"WI","EVPUP",459.00
"WI","EVPVP",18.00
"WV","EV0CN",0.00
"WV","EV1CN",18.00
"WV","EV2CN",270.00
"WV","EV2CR",2.65
"WV","EVCHN",396.00
"WV","EVCHP",131.00
"WV","EVDCN",108.00
"WV","EVDCR",4.91
"WV","EVNNP",3.00
"WV","EVNOP",55.00
"WV","EVNTP",73.00
"WV","EVPPP",7.00
"WV","EVPUP",111.00
"WV","EVPVP",13.00
"WY","EV0CN",0.00
"WY","EV1CN",7.00
"WY","EV2CN",127.00
"WY","EV2CR",2.05
"WY","EVCHN",229.00
"WY","EVCHP",85.00
"WY","EVDCN",95.00
"WY","EVDCR",4.52
"WY","EVNNP",0.00
"WY","EVNOP",28.00
"WY","EVNTP",57.00
"WY","EVPPP",1.00
"WY","EVPUP",75.00
"WY","EVPVP",9.00
